product_key,product_id,product_name,category,sub_category
32,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders
33,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art
34,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper
35,TEC-PH-10004977,GE 30524EE4,Technology,Phones
36,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings
37,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes
38,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
39,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs
40,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones
41,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones
42,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
43,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage
44,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories
45,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
46,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage
47,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories
48,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones
49,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders
50,OFF-LA-10002762,Avery 485,Office Supplies,Labels
51,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings
52,FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs
53,OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners
54,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones
55,OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage
56,OFF-PA-10001569,Xerox 232,Office Supplies,Paper
57,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs
58,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper
59,OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders
60,OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art
61,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories
62,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders
63,OFF-PA-10003892,Xerox 1943,Office Supplies,Paper
64,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings
65,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs
66,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art
67,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones
68,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper
69,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders
70,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper
71,FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs
72,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings
73,OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage
74,OFF-BI-10004182,Economy Binders,Office Supplies,Binders
75,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings
76,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage
77,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
78,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances
79,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders
80,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art
81,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage
82,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes
83,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage
84,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs
85,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories
86,OFF-LA-10000134,Avery 511,Office Supplies,Labels
87,OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage
88,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art
89,OFF-PA-10000304,Xerox 1995,Office Supplies,Paper
90,OFF-PA-10003177,Xerox 1999,Office Supplies,Paper
91,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings
92,OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders
93,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders
94,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings
95,OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders
96,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances
97,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper
98,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
99,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders
100,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper
101,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories
102,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings
103,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders
104,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories
105,TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones
106,OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art
107,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories
108,FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings
109,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art
110,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders
111,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners
112,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes
113,OFF-PA-10004965,Xerox 1921,Office Supplies,Paper
114,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
115,FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables
116,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders
117,FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings
118,OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage
119,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes
120,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones
121,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
122,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables
123,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders
124,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage
125,FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs
126,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings
127,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones
128,OFF-PA-10002377,Xerox 1916,Office Supplies,Paper
129,OFF-FA-10002780,Staples,Office Supplies,Fasteners
130,OFF-PA-10001804,Xerox 195,Office Supplies,Paper
131,OFF-PA-10001736,Xerox 1880,Office Supplies,Paper
132,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art
133,OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners
134,OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders
135,OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies
136,OFF-AR-10000940,Newell 343,Office Supplies,Art
137,OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes
138,OFF-PA-10004327,Xerox 1911,Office Supplies,Paper
139,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances
140,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings
141,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones
142,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones
143,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders
144,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances
145,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones
146,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper
147,OFF-PA-10002254,Xerox 1883,Office Supplies,Paper
148,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage
149,OFF-AR-10001547,Newell 311,Office Supplies,Art
150,OFF-LA-10002475,Avery 519,Office Supplies,Labels
151,TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones
152,OFF-PA-10002751,Xerox 1920,Office Supplies,Paper
153,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories
154,OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes
155,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders
156,OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art
157,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines
158,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage
159,FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs
160,OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art
161,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances
162,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones
163,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper
164,OFF-PA-10001144,Xerox 1913,Office Supplies,Paper
165,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs
166,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances
167,OFF-LA-10003148,Avery 51,Office Supplies,Labels
168,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances
169,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs
170,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies
171,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art
172,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage
173,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories
174,TEC-PH-10003273,AT&T TR1909W,Technology,Phones
175,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones
176,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories
177,OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders
178,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
179,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage
180,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
181,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones
182,OFF-PA-10000061,Xerox 205,Office Supplies,Paper
183,OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art
184,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art
185,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art
186,OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage
187,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders
188,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper
189,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper
190,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables
191,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances
192,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances
193,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings
194,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones
195,OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage
196,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones
197,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners
198,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage
199,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories
200,OFF-LA-10004544,Avery 505,Office Supplies,Labels
201,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases
202,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines
203,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories
204,TEC-PH-10002563,Adtran 1202752G1,Technology,Phones
205,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners
206,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,Paper
207,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings
208,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines
209,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art
210,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art
211,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables
212,OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage
213,FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs
214,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
215,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders
216,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables
217,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables
218,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings
219,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories
220,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper
221,OFF-PA-10003349,Xerox 1957,Office Supplies,Paper
222,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings
223,FUR-FU-10004351,Staple-based wall hangings,Furniture,Furnishings
224,TEC-PH-10000011,PureGear Roll-On Screen Protector,Technology,Phones
225,FUR-TA-10002607,KI Conference Tables,Furniture,Tables
226,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings
227,OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage
228,OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper
229,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances
230,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs
231,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper
232,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage
233,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes
234,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage
235,TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones
236,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories
237,OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage
238,OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders
239,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances
240,TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines
241,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Technology,Phones
242,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories
243,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art
244,OFF-FA-10003472,Bagged Rubber Bands,Office Supplies,Fasteners
245,OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage
246,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes
247,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage
248,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
249,FUR-FU-10003274,Regeneration Desk Collection,Furniture,Furnishings
250,OFF-BI-10002557,Presstex Flexible Ring Binders,Office Supplies,Binders
251,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper
252,OFF-AR-10001427,Newell 330,Office Supplies,Art
253,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,Paper
254,OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper
255,OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,Storage
256,OFF-LA-10002043,Avery 489,Office Supplies,Labels
257,OFF-BI-10004967,Round Ring Binders,Office Supplies,Binders
258,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Technology,Phones
259,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables
260,OFF-PA-10000474,Easy-staple paper,Office Supplies,Paper
261,TEC-AC-10001956,Microsoft Arc Touch Mouse,Technology,Accessories
262,OFF-PA-10004100,Xerox 216,Office Supplies,Paper
263,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders
264,OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies
265,OFF-FA-10002983,Advantus SlideClip Paper Clips,Office Supplies,Fasteners
266,OFF-LA-10004689,Avery 512,Office Supplies,Labels
267,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories
268,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases
269,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings
270,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs
271,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings
272,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders
273,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Office Supplies,Fasteners
274,OFF-PA-10002105,Xerox 223,Office Supplies,Paper
275,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage
276,OFF-PA-10004243,Xerox 1939,Office Supplies,Paper
277,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings
278,OFF-BI-10002706,Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Binders
279,FUR-TA-10002533,BPI Conference Tables,Furniture,Tables
280,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings
281,OFF-AR-10003651,Newell 350,Office Supplies,Art
282,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,Binders
283,OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art
284,OFF-AR-10002804,Faber Castell Col-Erase Pencils,Office Supplies,Art
285,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings
286,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs
287,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings
288,OFF-LA-10000634,Avery 509,Office Supplies,Labels
289,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings
290,TEC-PH-10002398,AT&T 1070 Corded Phone,Technology,Phones
291,OFF-PA-10001937,Xerox 21,Office Supplies,Paper
292,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art
293,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs
294,TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines
295,TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories
296,OFF-FA-10000624,OIC Binder Clips,Office Supplies,Fasteners
297,TEC-AC-10001908,Logitech Wireless Headset h800,Technology,Accessories
298,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings
299,TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones
300,OFF-ST-10000675,"File Shuttle II and Handi-File, Black",Office Supplies,Storage
301,FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
302,OFF-LA-10001074,Round Specialty Laser Printer Labels,Office Supplies,Labels
303,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders
304,TEC-PH-10004614,AT&T 841000 Phone,Technology,Phones
